period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2025-01-13,2025-01-19,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,116320,116320.0,5,observed,20.071,77.714,11.5,0.407,Dat do vang tren bazan,4,low
2025-01-20,2025-01-26,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,121900,121900.0,2,observed,20.443,74.0,0.1,0.354,Dat do vang tren bazan,4,low
2025-01-27,2025-02-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,125300,,0,interpolated_area,19.243,70.714,0.0,0.303,Dat do vang tren bazan,4,low
2025-02-03,2025-02-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,128700,128700.0,2,observed,19.614,68.429,0.0,0.278,Dat do vang tren bazan,4,low
2025-02-10,2025-02-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,129920,129920.0,5,observed,21.2,80.714,13.6,0.315,Dat do vang tren bazan,4,low
2025-02-17,2025-02-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,130500,130500.0,2,observed,20.714,83.143,60.2,0.417,Dat do vang tren bazan,4,low
2025-02-24,2025-03-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,127000,127000.0,1,observed,22.014,73.714,0.5,0.41,Dat do vang tren bazan,4,low
2025-03-03,2025-03-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,130500,130500.0,3,observed,22.529,76.286,9.0,0.336,Dat do vang tren bazan,4,low
2025-03-10,2025-03-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,130767,130766.66666666667,6,observed,23.043,73.0,3.7,0.39,Dat do vang tren bazan,4,low
2025-03-17,2025-03-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,133900,133900.0,1,observed,21.757,71.571,7.8,0.323,Dat do vang tren bazan,4,low
2025-03-24,2025-03-30,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,132150,132150.0,2,observed,22.571,71.0,9.1,0.293,Dat do vang tren bazan,4,low
2025-03-31,2025-04-06,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,131200,131200.0,1,observed,22.714,76.0,21.9,0.423,Dat do vang tren bazan,4,low
2025-04-07,2025-04-13,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,123700,123700.0,1,observed,23.343,75.143,7.2,0.313,Dat do vang tren bazan,4,low
2025-04-14,2025-04-20,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,127533,127533.33333333333,3,observed,23.771,77.429,9.6,0.357,Dat do vang tren bazan,4,low
2025-04-21,2025-04-27,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,128700,128700.0,2,observed,23.114,77.143,19.9,0.331,Dat do vang tren bazan,4,low
2025-04-28,2025-05-04,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,130000,130000.0,1,observed,23.086,75.571,39.8,0.371,Dat do vang tren bazan,4,low
2025-05-05,2025-05-11,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,128500,128500.0,2,observed,23.486,81.857,15.5,0.388,Dat do vang tren bazan,4,low
2025-05-12,2025-05-18,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,126750,126750.0,2,observed,23.057,82.714,24.5,0.404,Dat do vang tren bazan,4,low
