period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2025-09-15,2025-09-21,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,119800,119800.0,1,observed,21.9,91.143,61.7,0.489,Dat do vang tren bazan,4,low
2025-09-22,2025-09-28,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,117400,,0,interpolated_area,21.357,94.429,114.7,0.506,Dat do vang tren bazan,4,low
2025-09-29,2025-10-05,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,115000,115000.0,1,observed,21.714,89.429,28.2,0.471,Dat do vang tren bazan,4,low
2025-10-06,2025-10-12,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,113300,113300.0,2,observed,21.671,90.286,63.7,0.461,Dat do vang tren bazan,4,low
2025-10-13,2025-10-19,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,113900,113900.0,3,observed,21.971,88.286,38.0,0.48,Dat do vang tren bazan,4,low
2025-10-20,2025-10-26,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,115200,115200.0,8,observed,21.757,92.0,41.0,0.483,Dat do vang tren bazan,4,low
2025-10-27,2025-11-02,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,115400,115400.0,7,observed,21.814,92.286,123.6,0.497,Dat do vang tren bazan,4,low
2025-11-03,2025-11-09,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,116900,116900.0,11,observed,21.643,92.429,97.8,0.495,Dat do vang tren bazan,4,low
2025-11-10,2025-11-16,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,115155,115154.54545454546,11,observed,21.371,86.143,22.2,0.437,Dat do vang tren bazan,4,low
2025-11-17,2025-11-23,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,110911,110911.11111111111,9,observed,20.771,90.286,69.8,0.494,Dat do vang tren bazan,4,low
2025-11-24,2025-11-30,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,112664,112663.63636363637,11,observed,20.229,83.0,4.5,0.422,Dat do vang tren bazan,4,low
2025-12-01,2025-12-07,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,105091,105090.90909090909,11,observed,20.643,87.0,28.3,0.446,Dat do vang tren bazan,4,low
2025-12-08,2025-12-14,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,101009,101009.09090909091,11,observed,20.414,84.286,10.8,0.424,Dat do vang tren bazan,4,low
2025-12-15,2025-12-21,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,93227,93227.27272727272,11,observed,20.657,86.143,7.8,0.399,Dat do vang tren bazan,4,low
2025-12-22,2025-12-28,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,95529,95528.57142857143,7,observed,20.343,86.0,20.5,0.405,Dat do vang tren bazan,4,low
2025-12-29,2025-12-31,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,96000,96000.0,2,observed,18.6,79.0,0.0,0.344,Dat do vang tren bazan,4,low
